Market,Model,RMSLE,RMSE,R2
California,LightGBM,0.293973264818699,66268.44174907742,0.696986682217368
California,XGBoost,0.29751716702855274,66620.27504068197,0.6937606162877101
California,CatBoost,0.2842136472007014,63286.3259338356,0.7236445927009205
California,Convex blend,0.2840694462137908,63386.131501594726,0.7227722539503925
California,best single learner,0.2842136472007014,63286.3259338356,0.7236445927009205
Ames (Iowa),LightGBM,0.14164497952359492,29957.369296516998,0.8796684211335054
Ames (Iowa),XGBoost,0.13970569956436488,27105.191916609794,0.9014906979625028
Ames (Iowa),CatBoost,0.13081962949844755,28208.75790855919,0.8933059511635556
Ames (Iowa),Convex blend,0.13031879471796456,28015.76724589676,0.8947608552455485
Ames (Iowa),best single learner,0.13081962949844755,28208.75790855919,0.8933059511635556
