regime,method,DeletionAUC,InsertionAUC,Comprehensiveness,Infidelity
marginal/OOD,kernelshap,0.08465675300636977,0.9237885510076482,0.8771944747137367,0.9369295539858205
marginal/OOD,samplingshap,0.055114155716647885,0.943408971304685,0.973980356648709,0.9043618763457135
marginal/OOD,lime,0.030932245969900754,1.0255590194240551,1.0014051311128924,1.4609034866920536
marginal/OOD,occlusion,0.04070920367533684,0.9758244469584644,1.0377651362315634,1.906494873534627
marginal/OOD,treeshap,0.09037870017418419,0.9063432527889534,0.8857157338091243,8.318495771919066
marginal/OOD,consensus,-0.00291143180722126,0.9912211914589868,1.0873658387235183,0.9869569963968967
on-manifold,kernelshap,0.11216630651862215,1.0114830928823249,1.114932810966314,1.1374160775471
on-manifold,samplingshap,0.01412174505931832,1.0220206825045244,1.3546848012289898,1.2485329086909176
on-manifold,lime,0.005688306021539221,0.9114294364286246,0.7630090295428199,1.579085916335477
on-manifold,occlusion,0.28696775173173245,0.9622717010668748,0.8930179180086042,2.265131103126356
on-manifold,treeshap,0.012420315466571494,0.9772140765851483,0.9527542128680733,8.382826023510594
on-manifold,consensus,0.07660982581107896,1.0439871416367494,1.3588279064845212,1.3233140966633588
