setting,label,n_points,mask_frac,bg_size,method,deletion_marginal,deletion_on_manifold,infidelity_marginal,infidelity_on_manifold
baseline,Baseline,60,0.3,40,kernelshap,0.08465372617452073,0.12345009946213166,1.036984101639892,1.2075834963085463
baseline,Baseline,60,0.3,40,samplingshap,0.05511415571664853,0.0762596476070781,1.083186978409673,1.25800193430609
baseline,Baseline,60,0.3,40,lime,0.03097699396252405,0.02116676332693294,1.5622580945838012,1.6140578600423408
baseline,Baseline,60,0.3,40,occlusion,0.04070920367533753,0.20882320850103728,2.110906506860744,2.195549374186783
baseline,Baseline,60,0.3,40,treeshap,0.0903888264320056,0.16065708818490862,8.94456294882114,8.486375590267508
baseline,Baseline,60,0.3,40,consensus,0.001080741461292653,0.01679204215451641,1.0344631375420963,1.1933728703739797
points_20,20 diem,20,0.3,40,kernelshap,-0.3986374685631895,-0.008320955424739939,0.6389116646893575,1.0203916815910292
points_20,20 diem,20,0.3,40,samplingshap,-0.4179411583142481,-0.06971801694300099,0.6689472856379008,1.022562339528668
points_20,20 diem,20,0.3,40,lime,-0.4240282739721014,-0.08384104477380654,1.2931322303914645,1.5138359427969155
points_20,20 diem,20,0.3,40,occlusion,-0.4677348090461136,-0.021917930780606887,1.033536405299785,1.305049415108776
points_20,20 diem,20,0.3,40,treeshap,-0.3712441537291206,0.028990765733330905,2.0693525804338644,2.4272036526748226
points_20,20 diem,20,0.3,40,consensus,-0.4254654403354792,0.06376847958106793,0.7161852917755198,1.038850890731883
points_40,40 diem,40,0.3,40,kernelshap,-0.053385880021363616,-0.028245664319444152,1.2743792024597098,1.547007617965895
points_40,40 diem,40,0.3,40,samplingshap,-0.09563628503690705,-0.05395240336361784,1.306719281270254,1.6248534027334933
points_40,40 diem,40,0.3,40,lime,-0.11869976094702044,-0.11599853292357523,1.7465841858701445,1.6667278490642303
points_40,40 diem,40,0.3,40,occlusion,-0.1118850088038696,0.06679629822961033,1.4561448701855517,1.6379704017783676
points_40,40 diem,40,0.3,40,treeshap,-0.05366349126151289,0.1548292211605637,11.609683122908475,10.889041239889504
points_40,40 diem,40,0.3,40,consensus,-0.1636684779333512,0.07907097586571565,1.2213965699874332,1.4224903686015953
mask_20,Che 20%,60,0.2,40,kernelshap,0.08465372617452073,0.12345009946213166,0.6065467559957006,0.803648226033809
mask_20,Che 20%,60,0.2,40,samplingshap,0.05511415571664853,0.0762596476070781,0.6523166546406967,0.839468593297678
mask_20,Che 20%,60,0.2,40,lime,0.03097699396252405,0.02116676332693294,1.0000046061985555,0.9878956780062289
mask_20,Che 20%,60,0.2,40,occlusion,0.04070920367533753,0.20882320850103728,1.254141675593051,1.366607659709097
mask_20,Che 20%,60,0.2,40,treeshap,0.0903888264320056,0.16065708818490862,8.818582171711558,8.242778253572979
mask_20,Che 20%,60,0.2,40,consensus,0.001080741461292653,0.01679204215451641,0.5953713065893678,0.7366347729631552
mask_50,Che 50%,60,0.5,40,kernelshap,0.08465372617452073,0.12345009946213166,2.1076183678520892,2.622863121039532
mask_50,Che 50%,60,0.5,40,samplingshap,0.05511415571664853,0.0762596476070781,2.1601330497333437,2.6396717207438885
mask_50,Che 50%,60,0.5,40,lime,0.03097699396252405,0.02116676332693294,2.677173518660844,3.0813167799668917
mask_50,Che 50%,60,0.5,40,occlusion,0.04070920367533753,0.20882320850103728,3.3854773050175364,3.9302544901932026
mask_50,Che 50%,60,0.5,40,treeshap,0.0903888264320056,0.16065708818490862,12.227004256500814,11.875559025758294
mask_50,Che 50%,60,0.5,40,consensus,0.001080741461292653,0.01679204215451641,2.073291876523671,2.571187216764394
bg_10,Nen 10,60,0.3,10,kernelshap,0.47018776001824986,-0.07811620117296443,12.855401280537023,10.363141775355645
bg_10,Nen 10,60,0.3,10,samplingshap,0.3983725328051635,-0.00796507041344189,12.878823940351555,10.3897530839114
bg_10,Nen 10,60,0.3,10,lime,0.42808352219746554,0.25218882174637386,12.306767647373851,9.911870161529517
bg_10,Nen 10,60,0.3,10,occlusion,0.3774079981080065,0.33294761014252217,13.0197934983547,10.422167654200992
bg_10,Nen 10,60,0.3,10,treeshap,0.3875316402708224,-0.17158292491764024,17.380681251145113,14.736922279900625
bg_10,Nen 10,60,0.3,10,consensus,0.4398749959792804,-0.3601600993615983,12.520333541318118,10.045424757088078
bg_20,Nen 20,60,0.3,20,kernelshap,1.9943263108934797,0.7258324351948016,18.652908116840795,8.987940712139965
bg_20,Nen 20,60,0.3,20,samplingshap,1.9976968554187364,0.6282753721872859,18.69240389337306,9.083624232330743
bg_20,Nen 20,60,0.3,20,lime,2.015354893117122,0.3999616041519181,17.43661247325088,8.207358783128514
bg_20,Nen 20,60,0.3,20,occlusion,2.042333818559046,1.0675309147130299,18.577411081296713,8.92750170123289
bg_20,Nen 20,60,0.3,20,treeshap,1.9044686015960737,0.5044669222447092,30.83656225632081,20.01130849085544
bg_20,Nen 20,60,0.3,20,consensus,1.9875866406376552,0.6603174110004555,18.127191739823413,8.584606965640573
