setting,label,n_points,mask_frac,bg_size,metric,mean,point,ci_low,ci_high,valid_n
baseline,Baseline,60,0.3,40,deletion,0.37028571428571433,0.6571428571428573,-0.2571428571428572,0.8857142857142858,60
baseline,Baseline,60,0.3,40,infidelity,0.9696000000000001,1.0,0.8285714285714287,1.0,60
points_20,20 diem,20,0.3,40,deletion,0.04994285714285715,0.14285714285714288,-0.7442857142857142,0.7714285714285715,20
points_20,20 diem,20,0.3,40,infidelity,0.9149714285714288,1.0,0.6,1.0,20
points_40,40 diem,40,0.3,40,deletion,0.13645714285714286,0.08571428571428573,-0.6,0.7142857142857143,40
points_40,40 diem,40,0.3,40,infidelity,0.8274285714285715,1.0,0.48571428571428577,1.0,40
mask_20,Che 20%,60,0.2,40,deletion,0.37828571428571434,0.6571428571428573,-0.2571428571428572,0.8285714285714287,60
mask_20,Che 20%,60,0.2,40,infidelity,0.9579428571428573,1.0,0.7714285714285715,1.0,60
mask_50,Che 50%,60,0.5,40,deletion,0.3730285714285715,0.6571428571428573,-0.3142857142857143,0.8285714285714287,60
mask_50,Che 50%,60,0.5,40,infidelity,0.9513142857142858,1.0,0.7714285714285715,1.0,60
bg_10,Nen 10,60,0.3,10,deletion,-0.06445714285714285,-0.48571428571428577,-0.6571428571428573,0.6571428571428573,60
bg_10,Nen 10,60,0.3,10,infidelity,0.9561142857142859,1.0,0.8285714285714287,1.0,60
bg_20,Nen 20,60,0.3,20,deletion,0.39851428571428577,0.2571428571428572,-0.2571428571428572,0.942857142857143,59
bg_20,Nen 20,60,0.3,20,infidelity,0.9517714285714287,1.0,0.6571428571428573,1.0,59
